shipment_id,lane_id,origin,destination,carrier_id,carrier_name,distance_km,weight_kg,freight_cost_inr,cost_per_kg,transit_days_promised,transit_days_actual,on_time_delivery,delay_days,damage_loss_flag,is_monsoon,is_festival,shipment_date
SHP10061,L005,Chennai,Hyderabad,C002,GATI Express,627,5364.3,13935.6,2.598,1,1,1,0,0,1,0,2023-09-29
SHP10062,L005,Chennai,Hyderabad,C004,VRL Logistics,627,5802.3,14357.53,2.474,1,2,0,1,0,0,1,2023-11-20
SHP10063,L009,Mumbai,Hyderabad,C005,TCI Freight,711,8073.2,25982.25,3.218,2,2,1,0,0,0,0,2023-04-13
SHP10064,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,7153.8,25687.42,3.591,2,2,1,0,0,0,0,2023-05-16
SHP10065,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,2938.6,11204.25,3.813,2,2,1,0,0,0,1,2023-10-19
SHP10066,L009,Mumbai,Hyderabad,C006,Safexpress,711,4298.1,15913.63,3.702,3,3,1,0,0,0,1,2023-11-06
SHP10067,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,7543.2,20724.12,2.747,3,4,0,1,0,0,1,2023-11-03
SHP10068,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,2957.0,12470.89,4.217,2,3,0,1,0,0,0,2023-04-29
SHP10069,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,1980.5,6951.83,3.51,3,3,1,0,0,0,1,2023-10-16
SHP10070,L005,Chennai,Hyderabad,C002,GATI Express,627,5452.9,16145.27,2.961,2,2,1,0,0,1,0,2023-09-28
SHP10071,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,6193.1,22510.73,3.635,2,2,1,0,0,0,0,2024-03-09
SHP10072,L005,Chennai,Hyderabad,C002,GATI Express,627,9269.2,29822.25,3.217,1,2,0,1,0,1,0,2023-09-26
SHP10073,L009,Mumbai,Hyderabad,C006,Safexpress,711,5068.6,13408.94,2.645,3,3,1,0,0,0,0,2024-03-13
SHP10074,L001,Mumbai,Delhi,C006,Safexpress,1415,8459.7,30649.17,3.623,3,3,1,0,0,1,0,2023-06-02
SHP10075,L005,Chennai,Hyderabad,C005,TCI Freight,627,3420.9,8875.04,2.594,1,2,0,1,0,1,0,2023-06-01
SHP10076,L005,Chennai,Hyderabad,C003,Delhivery Ltd,627,6922.5,18540.03,2.678,1,1,1,0,0,0,0,2023-02-10
SHP10077,L003,Mumbai,Bangalore,C006,Safexpress,984,9714.2,41455.88,4.268,2,2,1,0,0,0,0,2023-04-16
SHP10078,L006,Pune,Ahmedabad,C005,TCI Freight,475,3091.2,8907.39,2.882,1,1,1,0,0,1,0,2023-06-08
SHP10079,L003,Mumbai,Bangalore,C004,VRL Logistics,984,4263.8,17949.02,4.21,2,2,1,0,0,0,0,2023-01-26
SHP10080,L005,Chennai,Hyderabad,C004,VRL Logistics,627,7418.7,19485.85,2.627,1,1,1,0,0,1,0,2023-09-12
SHP10081,L001,Mumbai,Delhi,C004,VRL Logistics,1415,1867.5,7277.61,3.897,2,2,1,0,0,0,0,2023-02-09
SHP10082,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,5108.0,11850.86,2.32,1,1,1,0,0,0,1,2023-11-09
SHP10083,L003,Mumbai,Bangalore,C004,VRL Logistics,984,2574.4,11274.81,4.38,2,2,1,0,0,0,0,2023-12-03
SHP10084,L005,Chennai,Hyderabad,C003,Delhivery Ltd,627,5051.0,15934.44,3.155,1,1,1,0,0,1,0,2024-06-05
SHP10085,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,3324.4,11923.25,3.587,2,2,1,0,0,0,0,2023-01-29
SHP10086,L005,Chennai,Hyderabad,C002,GATI Express,627,9217.1,23734.3,2.575,1,2,0,1,0,1,0,2023-09-29
SHP10087,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,3370.6,8950.4,2.655,1,1,1,0,0,0,1,2023-11-18
SHP10088,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,3093.0,8787.94,2.841,3,3,1,0,0,0,0,2024-01-30
SHP10089,L001,Mumbai,Delhi,C006,Safexpress,1415,13316.8,57718.78,4.334,2,2,1,0,0,0,0,2024-03-22
SHP10090,L009,Mumbai,Hyderabad,C006,Safexpress,711,8666.6,26892.09,3.103,2,2,1,0,0,1,0,2023-07-21
SHP10091,L005,Chennai,Hyderabad,C005,TCI Freight,627,10507.5,34945.17,3.326,2,3,0,1,0,0,1,2023-11-18
SHP10092,L005,Chennai,Hyderabad,C005,TCI Freight,627,1975.1,5687.34,2.88,2,2,1,0,0,0,1,2023-11-13
SHP10093,L006,Pune,Ahmedabad,C006,Safexpress,475,3675.6,8220.03,2.236,2,2,1,0,0,0,1,2023-10-30
SHP10094,L006,Pune,Ahmedabad,C006,Safexpress,475,6414.3,17829.3,2.78,2,2,1,0,0,0,0,2024-01-24
SHP10095,L003,Mumbai,Bangalore,C005,TCI Freight,984,7822.7,30968.16,3.959,2,2,1,0,0,0,1,2023-11-05
SHP10096,L001,Mumbai,Delhi,C003,Delhivery Ltd,1415,4223.7,17747.72,4.202,2,2,1,0,0,0,1,2023-10-21
SHP10097,L009,Mumbai,Hyderabad,C005,TCI Freight,711,2324.7,7239.9,3.114,2,2,1,0,0,0,1,2023-11-26
SHP10098,L003,Mumbai,Bangalore,C005,TCI Freight,984,11669.9,40327.55,3.456,3,3,1,0,0,0,0,2024-04-29
SHP10099,L001,Mumbai,Delhi,C003,Delhivery Ltd,1415,2076.6,9345.58,4.5,3,4,0,1,0,1,0,2024-06-11
SHP10100,L005,Chennai,Hyderabad,C001,BlueDart Logistics,627,4352.6,12100.56,2.78,2,2,1,0,0,1,0,2023-08-29
SHP10101,L003,Mumbai,Bangalore,C002,GATI Express,984,5097.7,18125.59,3.556,2,3,0,1,0,0,0,2023-01-26
SHP10102,L006,Pune,Ahmedabad,C005,TCI Freight,475,17673.5,43965.23,2.488,1,1,1,0,0,0,0,2023-03-16
SHP10103,L009,Mumbai,Hyderabad,C002,GATI Express,711,1523.5,4675.05,3.069,2,2,1,0,0,0,0,2024-01-29
SHP10104,L003,Mumbai,Bangalore,C006,Safexpress,984,3670.7,15656.63,4.265,2,3,0,1,0,0,0,2023-01-06
SHP10105,L003,Mumbai,Bangalore,C002,GATI Express,984,5566.7,18352.24,3.297,2,3,0,1,0,1,0,2024-06-14
SHP10106,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,6088.8,26156.78,4.296,2,2,1,0,0,0,0,2024-04-12
SHP10107,L009,Mumbai,Hyderabad,C005,TCI Freight,711,3243.0,10701.02,3.3,2,2,1,0,0,0,1,2023-11-21
SHP10108,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,2988.7,10286.71,3.442,2,2,1,0,0,0,0,2024-04-01
SHP10109,L006,Pune,Ahmedabad,C004,VRL Logistics,475,3511.8,10043.33,2.86,1,4,0,3,0,1,0,2023-09-23
SHP10110,L005,Chennai,Hyderabad,C005,TCI Freight,627,3289.5,8907.42,2.708,2,2,1,0,0,0,0,2024-05-11
SHP10111,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,9869.1,23318.22,2.363,1,1,1,0,0,0,1,2023-10-20
SHP10112,L005,Chennai,Hyderabad,C005,TCI Freight,627,3847.8,10073.9,2.618,1,1,1,0,0,0,0,2023-03-24
SHP10113,L006,Pune,Ahmedabad,C006,Safexpress,475,5750.1,13295.43,2.312,2,2,1,0,0,1,0,2023-06-06
SHP10114,L006,Pune,Ahmedabad,C004,VRL Logistics,475,4257.6,10783.15,2.533,2,2,1,0,0,0,0,2023-12-05
SHP10115,L001,Mumbai,Delhi,C002,GATI Express,1415,8204.1,40201.01,4.9,2,3,0,1,0,0,0,2024-03-06
SHP10116,L009,Mumbai,Hyderabad,C006,Safexpress,711,15481.3,47182.57,3.048,3,5,0,2,0,0,0,2023-01-21
SHP10117,L001,Mumbai,Delhi,C003,Delhivery Ltd,1415,9312.7,44929.76,4.825,2,2,1,0,0,0,1,2023-11-02
SHP10118,L006,Pune,Ahmedabad,C005,TCI Freight,475,7804.1,18082.05,2.317,1,1,1,0,0,1,0,2023-08-14
SHP10119,L006,Pune,Ahmedabad,C004,VRL Logistics,475,7333.7,17741.05,2.419,1,1,1,0,0,0,0,2023-01-30
SHP10120,L006,Pune,Ahmedabad,C006,Safexpress,475,1402.5,4108.76,2.93,1,1,1,0,0,1,0,2023-06-19
SHP10121,L009,Mumbai,Hyderabad,C005,TCI Freight,711,14217.9,46594.95,3.277,2,2,1,0,0,0,0,2023-01-28
SHP10122,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,7103.2,34409.83,4.844,2,2,1,0,0,0,0,2024-03-14
SHP10123,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,11100.3,40686.81,3.665,2,2,1,0,0,1,0,2023-09-24
SHP10124,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,6873.8,16280.42,2.368,1,1,1,0,0,0,0,2023-12-12
SHP10125,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,8296.0,17769.7,2.142,1,1,1,0,1,0,0,2023-03-25
SHP10126,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,9824.3,32817.15,3.34,2,2,1,0,0,0,0,2023-12-25
SHP10127,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,3690.7,17728.89,4.804,2,3,0,1,0,1,0,2023-09-11
SHP10128,L009,Mumbai,Hyderabad,C002,GATI Express,711,5922.7,18649.48,3.149,2,2,1,0,0,1,0,2023-09-02
SHP10129,L001,Mumbai,Delhi,C005,TCI Freight,1415,11911.0,54769.32,4.598,2,3,0,1,0,1,0,2023-08-12
SHP10130,L005,Chennai,Hyderabad,C002,GATI Express,627,3263.6,11240.46,3.444,1,1,1,0,0,0,0,2023-04-28
SHP10131,L001,Mumbai,Delhi,C005,TCI Freight,1415,4774.7,21087.09,4.416,2,2,1,0,0,0,0,2023-01-27
SHP10132,L006,Pune,Ahmedabad,C004,VRL Logistics,475,6605.2,17458.11,2.643,1,1,1,0,0,1,0,2023-07-23
SHP10133,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,5184.0,20883.99,4.029,3,3,1,0,0,0,1,2023-11-05
SHP10134,L001,Mumbai,Delhi,C005,TCI Freight,1415,5124.5,22307.64,4.353,2,2,1,0,1,0,0,2023-02-12
SHP10135,L005,Chennai,Hyderabad,C001,BlueDart Logistics,627,8867.1,24928.52,2.811,2,2,1,0,0,1,0,2024-06-02
SHP10136,L006,Pune,Ahmedabad,C004,VRL Logistics,475,11739.2,34814.82,2.966,1,2,0,1,0,0,0,2023-04-19
SHP10137,L006,Pune,Ahmedabad,C006,Safexpress,475,8739.1,19917.46,2.279,1,1,1,0,0,1,0,2023-06-06
SHP10138,L009,Mumbai,Hyderabad,C006,Safexpress,711,4598.3,16148.75,3.512,3,4,0,1,0,0,1,2023-10-04
SHP10139,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,8828.9,31174.16,3.531,2,2,1,0,0,0,0,2024-04-21
SHP10140,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,9132.2,32294.59,3.536,2,2,1,0,0,0,1,2023-11-27
SHP10141,L001,Mumbai,Delhi,C003,Delhivery Ltd,1415,1658.9,7752.37,4.673,2,5,0,3,0,0,0,2024-04-06
SHP10142,L009,Mumbai,Hyderabad,C005,TCI Freight,711,8692.8,23176.22,2.666,2,2,1,0,0,0,0,2024-01-24
SHP10143,L005,Chennai,Hyderabad,C002,GATI Express,627,3476.8,9822.47,2.825,1,1,1,0,0,0,0,2024-05-14
SHP10144,L005,Chennai,Hyderabad,C003,Delhivery Ltd,627,2225.8,7070.7,3.177,2,2,1,0,0,0,1,2023-10-14
SHP10145,L005,Chennai,Hyderabad,C005,TCI Freight,627,14748.2,50546.26,3.427,2,2,1,0,0,0,0,2023-01-11
SHP10146,L001,Mumbai,Delhi,C002,GATI Express,1415,9973.3,43743.98,4.386,2,2,1,0,1,0,0,2024-02-21
SHP10147,L003,Mumbai,Bangalore,C006,Safexpress,984,3708.9,15491.15,4.177,3,3,1,0,0,0,0,2024-05-02
SHP10148,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,4588.4,10640.03,2.319,1,1,1,0,0,0,0,2023-04-06
SHP10149,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,10328.8,40965.25,3.966,2,2,1,0,0,0,0,2024-01-13
SHP10150,L005,Chennai,Hyderabad,C004,VRL Logistics,627,4930.3,15670.45,3.178,1,1,1,0,0,0,0,2023-12-05
SHP10151,L005,Chennai,Hyderabad,C003,Delhivery Ltd,627,5055.3,13080.42,2.587,1,2,0,1,0,1,0,2023-09-15
SHP10152,L003,Mumbai,Bangalore,C003,Delhivery Ltd,984,2162.1,8524.51,3.943,3,3,1,0,0,0,0,2023-05-03
SHP10153,L003,Mumbai,Bangalore,C002,GATI Express,984,6777.0,26253.99,3.874,3,3,1,0,0,1,0,2023-08-10
SHP10154,L009,Mumbai,Hyderabad,C005,TCI Freight,711,5683.9,20111.92,3.538,2,2,1,0,0,0,1,2023-10-17
SHP10155,L005,Chennai,Hyderabad,C002,GATI Express,627,16788.3,46533.84,2.772,1,1,1,0,0,0,0,2024-01-05
SHP10156,L009,Mumbai,Hyderabad,C002,GATI Express,711,9099.3,33595.62,3.692,2,2,1,0,0,0,1,2023-10-08
SHP10157,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,5429.8,19423.92,3.577,3,3,1,0,0,0,0,2023-05-10
SHP10158,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,12009.2,28507.4,2.374,2,2,1,0,0,0,0,2023-01-13
SHP10159,L006,Pune,Ahmedabad,C004,VRL Logistics,475,8322.3,24715.65,2.97,1,1,1,0,0,0,0,2023-12-15
SHP10160,L005,Chennai,Hyderabad,C004,VRL Logistics,627,1739.7,4995.93,2.872,1,1,1,0,0,0,0,2023-04-27
SHP10161,L001,Mumbai,Delhi,C005,TCI Freight,1415,11691.3,44302.08,3.789,2,2,1,0,0,0,0,2023-02-24
SHP10162,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,3670.1,10142.39,2.764,2,2,1,0,0,0,0,2023-03-29
SHP10163,L006,Pune,Ahmedabad,C005,TCI Freight,475,10945.3,26901.7,2.458,2,4,0,2,0,1,0,2023-08-20
SHP10164,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,4151.3,10887.0,2.623,1,2,0,1,1,0,0,2024-03-15
SHP10165,L001,Mumbai,Delhi,C005,TCI Freight,1415,1810.2,8126.91,4.49,2,2,1,0,0,0,0,2023-04-12
SHP10166,L005,Chennai,Hyderabad,C006,Safexpress,627,4565.4,12365.22,2.708,1,1,1,0,0,0,0,2023-03-25
SHP10167,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,4697.7,14460.66,3.078,2,2,1,0,0,1,0,2023-06-10
SHP10168,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,2538.3,7325.92,2.886,2,2,1,0,0,0,1,2023-10-26
SHP10169,L005,Chennai,Hyderabad,C006,Safexpress,627,6585.4,20827.62,3.163,1,2,0,1,0,0,0,2024-04-09
SHP10170,L005,Chennai,Hyderabad,C006,Safexpress,627,3575.4,9229.89,2.581,1,1,1,0,0,1,0,2023-07-22
SHP10171,L003,Mumbai,Bangalore,C006,Safexpress,984,3054.2,13222.91,4.329,2,2,1,0,0,1,0,2023-06-02
SHP10172,L001,Mumbai,Delhi,C001,BlueDart Logistics,1415,3525.6,15670.29,4.445,2,2,1,0,0,1,0,2023-06-19
SHP10173,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,2395.3,7529.71,3.144,2,2,1,0,0,0,0,2024-03-25
SHP10174,L005,Chennai,Hyderabad,C006,Safexpress,627,3229.8,9602.13,2.973,1,1,1,0,0,0,0,2024-02-17
SHP10175,L006,Pune,Ahmedabad,C004,VRL Logistics,475,5588.1,12069.62,2.16,2,3,0,1,0,0,0,2023-03-24
SHP10176,L006,Pune,Ahmedabad,C006,Safexpress,475,3574.9,8379.82,2.344,2,3,0,1,0,0,1,2023-11-27
SHP10177,L001,Mumbai,Delhi,C002,GATI Express,1415,3479.0,16620.89,4.777,3,3,1,0,0,0,0,2023-01-22
SHP10178,L009,Mumbai,Hyderabad,C001,BlueDart Logistics,711,13186.9,42172.71,3.198,2,2,1,0,0,1,0,2023-06-29
SHP10179,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,4232.6,10608.59,2.506,2,2,1,0,0,1,0,2023-07-05
SHP10180,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,25000.0,62057.61,2.482,1,1,1,0,0,0,0,2024-04-26
SHP10181,L005,Chennai,Hyderabad,C006,Safexpress,627,9621.4,26937.52,2.8,1,1,1,0,0,0,0,2023-04-18
SHP10182,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,3121.9,6734.28,2.157,2,2,1,0,0,0,0,2024-02-15
SHP10183,L001,Mumbai,Delhi,C003,Delhivery Ltd,1415,2093.6,7830.91,3.74,2,2,1,0,0,1,0,2023-09-16
SHP10184,L006,Pune,Ahmedabad,C005,TCI Freight,475,13524.9,39028.76,2.886,2,2,1,0,0,0,0,2023-01-02
SHP10185,L006,Pune,Ahmedabad,C004,VRL Logistics,475,8341.4,21509.42,2.579,1,1,1,0,0,0,0,2023-02-25
SHP10186,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,12257.3,35005.14,2.856,2,2,1,0,0,0,0,2024-03-28
SHP10187,L009,Mumbai,Hyderabad,C002,GATI Express,711,6790.9,24384.21,3.591,2,2,1,0,0,0,1,2023-10-22
SHP10188,L006,Pune,Ahmedabad,C001,BlueDart Logistics,475,8567.3,22769.85,2.658,2,2,1,0,0,0,0,2023-01-30
SHP10189,L003,Mumbai,Bangalore,C006,Safexpress,984,15454.4,61239.85,3.963,2,3,0,1,0,1,0,2023-06-12
SHP10190,L009,Mumbai,Hyderabad,C004,VRL Logistics,711,3733.6,13857.63,3.712,2,2,1,0,0,0,0,2023-04-06
SHP10191,L001,Mumbai,Delhi,C004,VRL Logistics,1415,3375.9,16181.53,4.793,3,3,1,0,0,0,0,2023-05-01
SHP10192,L006,Pune,Ahmedabad,C006,Safexpress,475,1094.8,3002.2,2.742,2,2,1,0,1,0,1,2023-10-26
SHP10193,L006,Pune,Ahmedabad,C004,VRL Logistics,475,7411.5,18711.73,2.525,1,1,1,0,0,0,0,2024-04-28
SHP10194,L003,Mumbai,Bangalore,C004,VRL Logistics,984,3477.0,13581.02,3.906,3,4,0,1,0,1,0,2023-07-15
SHP10195,L003,Mumbai,Bangalore,C001,BlueDart Logistics,984,7732.9,28472.8,3.682,2,2,1,0,0,0,1,2023-10-10
SHP10196,L009,Mumbai,Hyderabad,C003,Delhivery Ltd,711,1805.1,6178.43,3.423,2,2,1,0,0,0,0,2023-01-03
SHP10197,L009,Mumbai,Hyderabad,C005,TCI Freight,711,6809.1,21241.01,3.12,2,2,1,0,0,0,0,2024-05-16
SHP10198,L006,Pune,Ahmedabad,C003,Delhivery Ltd,475,1851.0,5168.94,2.793,2,2,1,0,0,0,0,2023-12-07
