shipment_id,lane_id,origin,destination,carrier_id,carrier_name,distance_km,weight_kg,freight_cost_inr,cost_per_kg,transit_days_promised,transit_days_actual,on_time_delivery,delay_days,damage_loss_flag,is_monsoon,is_festival,shipment_date,mode,freight_type
SHP20023,L024,Varanasi,Chandigarh,C007,Ekart Logistics,1111,18341.2,88075.8,4.802,3,5,0,2,0,0,0,2024-04-04,LTL,Pharma
SHP20024,L025,Kanpur,Kolkata,C003,Delhivery Ltd,1205,7324.4,21052.69,2.874,3,3,1,0,0,0,0,2023-04-11,LTL,Pharma
SHP20025,L026,Chandigarh,Indore,C001,BlueDart Logistics,1162,24240.4,127075.07,5.242,3,3,1,0,0,0,0,2024-05-12,LTL,Textiles
SHP20026,L027,Patna,Kochi,C007,Ekart Logistics,2557,22609.9,58248.3,2.576,3,7,0,4,0,0,0,2024-04-10,LTL,General Cargo
SHP20027,L028,Thiruvananthapuram,Kolkata,C008,XpressBees,2580,4292.5,13042.66,3.038,3,3,1,0,0,0,0,2023-03-04,LTL,General Cargo
SHP20028,L009,Mumbai,Chandigarh,C001,BlueDart Logistics,1753,14812.4,55694.27,3.76,3,3,1,0,0,1,0,2024-06-04,LTL,Textiles
SHP20029,L029,Agra,Hyderabad,C002,GATI Express,1418,15078.4,65790.74,4.363,3,3,1,0,0,1,0,2023-09-10,LTL,Electronics
SHP20030,L030,Lucknow,Varanasi,C007,Ekart Logistics,348,16605.6,66061.96,3.978,1,1,1,0,0,0,1,2023-11-18,FTL,Auto Parts
SHP20031,L031,Visakhapatnam,Mangalore,C007,Ekart Logistics,1361,3706.5,15786.92,4.259,3,3,1,0,0,0,0,2023-03-16,FTL,General Cargo
SHP20032,L032,Delhi,Patna,C002,GATI Express,1105,2294.9,6301.89,2.746,3,3,1,0,0,0,0,2023-03-12,LTL,FMCG
SHP20033,L033,Visakhapatnam,Vadodara,C005,TCI Freight,1524,4364.8,21466.55,4.918,3,3,1,0,0,1,0,2024-06-25,LTL,Pharma
SHP20034,L034,Delhi,Jabalpur,C005,TCI Freight,856,23328.0,55113.63,2.363,2,2,1,0,0,0,0,2023-04-20,LTL,Textiles
SHP20035,L035,Indore,Noida,C005,TCI Freight,861,7403.0,20263.52,2.737,2,2,1,0,0,1,0,2023-09-28,FTL,FMCG
SHP20036,L036,Ranchi,Guwahati,C005,TCI Freight,932,22680.7,112527.19,4.961,2,6,0,4,0,0,0,2023-02-15,LTL,Textiles
SHP20037,L037,Delhi,Ahmedabad,C003,Delhivery Ltd,1007,16109.3,46988.31,2.917,3,3,1,0,0,0,0,2024-03-13,FTL,Pharma
SHP20038,L038,Indore,Delhi,C002,GATI Express,870,2343.5,11930.46,5.091,2,2,1,0,0,0,0,2024-01-14,FTL,Pharma
SHP20039,L035,Indore,Noida,C007,Ekart Logistics,861,3622.4,11153.02,3.079,2,2,1,0,0,0,0,2023-02-10,FTL,General Cargo
SHP20040,L039,Ahmedabad,Kochi,C004,VRL Logistics,1948,16839.9,54525.49,3.238,3,3,1,0,0,1,0,2023-06-08,FTL,General Cargo
SHP20041,L040,Visakhapatnam,Chennai,C003,Delhivery Ltd,785,22094.7,46106.17,2.087,2,2,1,0,0,0,0,2024-02-26,FTL,FMCG
SHP20042,L041,Visakhapatnam,Thiruvananthapuram,C003,Delhivery Ltd,1598,19790.7,47068.91,2.378,3,3,1,0,0,1,0,2023-08-16,LTL,Textiles
SHP20043,L042,Hyderabad,Patna,C006,Safexpress,1480,7977.2,38160.61,4.784,3,3,1,0,1,1,0,2023-07-17,LTL,Pharma
SHP20044,L043,Rajkot,Pune,C005,TCI Freight,691,21676.6,116709.24,5.384,2,2,1,0,0,0,0,2024-02-14,LTL,FMCG
SHP20045,L044,Bhopal,Pune,C001,BlueDart Logistics,839,3325.9,17947.89,5.396,2,2,1,0,0,1,0,2023-09-29,LTL,Auto Parts
SHP20046,L045,Lucknow,Dehradun,C007,Ekart Logistics,626,8969.3,42626.59,4.752,2,2,1,0,0,0,0,2023-04-29,LTL,FMCG
SHP20047,L046,Vadodara,Hyderabad,C005,TCI Freight,1010,1587.5,5597.84,3.526,3,3,1,0,0,1,0,2023-07-21,FTL,Electronics
SHP20048,L047,Surat,Kolkata,C002,GATI Express,2101,23747.4,124025.5,5.223,3,3,1,0,0,0,0,2023-05-08,LTL,FMCG
SHP20049,L048,Vijayawada,Raipur,C005,TCI Freight,707,16838.9,52901.76,3.142,2,2,1,0,0,1,0,2023-07-16,LTL,Electronics
SHP20050,L049,Nagpur,Vadodara,C003,Delhivery Ltd,811,15580.1,47571.1,3.053,2,2,1,0,1,0,1,2023-10-21,FTL,Electronics
SHP20051,L050,Kochi,Kolkata,C006,Safexpress,2474,11892.2,42188.28,3.548,3,3,1,0,0,1,0,2023-06-23,LTL,Electronics
SHP20052,L051,Agra,Vijayawada,C006,Safexpress,1585,2788.0,14865.61,5.332,3,3,1,0,0,1,0,2023-07-23,FTL,Auto Parts
SHP20053,L052,Noida,Jaipur,C001,BlueDart Logistics,309,6498.6,23804.22,3.663,1,1,1,0,0,0,0,2024-02-29,LTL,FMCG
SHP20054,L006,Jabalpur,Hyderabad,C007,Ekart Logistics,860,12612.2,35994.53,2.854,2,2,1,0,1,0,0,2023-04-20,FTL,FMCG
SHP20055,L053,Nashik,Coimbatore,C003,Delhivery Ltd,1375,20200.7,89604.07,4.436,3,3,1,0,0,0,0,2023-05-05,LTL,Auto Parts
SHP20056,L054,Bhubaneswar,Kanpur,C008,XpressBees,1155,16855.7,91992.07,5.458,3,3,1,0,0,0,0,2024-03-29,LTL,Pharma
SHP20057,L055,Ranchi,Nashik,C008,XpressBees,1620,22481.6,103478.17,4.603,3,3,1,0,0,1,0,2023-09-11,FTL,General Cargo
SHP20058,L056,Mangalore,Bhopal,C008,XpressBees,1542,15855.3,46948.99,2.961,3,6,0,3,0,0,0,2023-12-10,FTL,FMCG
SHP20059,L057,Mumbai,Indore,C002,GATI Express,659,3890.2,10929.19,2.809,2,2,1,0,0,0,0,2023-03-07,FTL,General Cargo
SHP20060,L058,Nagpur,Nashik,C006,Safexpress,735,13794.0,47661.16,3.455,2,2,1,0,0,0,0,2023-01-21,FTL,Textiles
SHP20061,L059,Jabalpur,Vadodara,C008,XpressBees,902,644.5,2082.48,3.231,2,2,1,0,0,0,0,2024-03-05,FTL,Textiles
SHP20062,L060,Bhopal,Indore,C004,VRL Logistics,218,12461.6,36827.44,2.955,1,1,1,0,0,0,0,2024-02-19,FTL,Auto Parts
SHP20063,L061,Chennai,Patna,C003,Delhivery Ltd,1921,24527.7,94908.28,3.869,3,3,1,0,0,0,0,2023-01-28,FTL,Textiles
SHP20064,L062,Agra,Kolkata,C003,Delhivery Ltd,1516,21737.9,57302.23,2.636,3,3,1,0,0,0,0,2024-04-10,FTL,Textiles
SHP20065,L063,Mumbai,Ahmedabad,C007,Ekart Logistics,565,7317.3,38995.46,5.329,2,2,1,0,0,0,0,2024-04-26,LTL,Pharma
SHP20066,L064,Jaipur,Indore,C001,BlueDart Logistics,607,24997.7,80614.11,3.225,2,2,1,0,0,0,0,2023-02-11,LTL,Pharma
SHP20067,L065,Jaipur,Madurai,C004,VRL Logistics,2477,21061.1,87923.24,4.175,3,3,1,0,0,0,0,2023-04-28,FTL,Pharma
SHP20068,L066,Jabalpur,Kochi,C008,XpressBees,1972,17636.9,82613.77,4.684,3,3,1,0,0,0,0,2023-04-28,LTL,Textiles
SHP20069,L067,Chennai,Mumbai,C002,GATI Express,1344,14677.8,77074.67,5.251,3,3,1,0,0,0,0,2024-01-20,LTL,Auto Parts
SHP20070,L068,Rajkot,Hyderabad,C002,GATI Express,1264,15006.4,73636.42,4.907,3,3,1,0,0,0,1,2023-11-05,LTL,Electronics
SHP20071,L045,Dehradun,Lucknow,C006,Safexpress,626,13552.3,58482.57,4.315,2,5,0,3,1,0,0,2024-03-06,LTL,Electronics
SHP20072,L069,Guwahati,Varanasi,C007,Ekart Logistics,1140,24039.3,101555.17,4.225,3,3,1,0,0,0,0,2024-03-21,FTL,General Cargo
SHP20073,L070,Bangalore,Bhopal,C005,TCI Freight,1504,15589.9,81358.42,5.219,3,3,1,0,0,0,1,2023-10-02,LTL,Electronics
SHP20074,L071,Mumbai,Visakhapatnam,C002,GATI Express,1441,7333.7,26238.56,3.578,3,3,1,0,0,0,0,2024-01-24,FTL,Electronics
SHP20075,L072,Pune,Jaipur,C008,XpressBees,1240,21348.3,56283.5,2.636,3,3,1,0,0,0,0,2023-12-15,LTL,Pharma
SHP20076,L073,Mangalore,Thiruvananthapuram,C001,BlueDart Logistics,702,13157.4,35113.12,2.669,2,2,1,0,0,1,0,2023-09-04,LTL,Pharma
SHP20077,L074,Patna,Ranchi,C008,XpressBees,319,19926.9,46343.73,2.326,1,1,1,0,0,0,1,2023-11-10,LTL,Textiles
SHP20078,L075,Surat,Guwahati,C006,Safexpress,2601,10924.8,50371.78,4.611,3,3,1,0,0,0,1,2023-10-05,FTL,General Cargo
SHP20079,L076,Vijayawada,Madurai,C004,VRL Logistics,1017,3456.1,9241.77,2.674,3,5,0,2,0,0,0,2024-05-10,LTL,FMCG
SHP20080,L056,Mangalore,Bhopal,C005,TCI Freight,1542,24522.5,120508.45,4.914,3,3,1,0,0,0,1,2023-11-06,FTL,General Cargo
SHP20081,L038,Delhi,Indore,C003,Delhivery Ltd,870,7220.6,39063.68,5.41,2,2,1,0,0,0,0,2023-05-10,LTL,General Cargo
SHP20082,L069,Guwahati,Varanasi,C001,BlueDart Logistics,1140,14564.6,53057.23,3.643,3,3,1,0,0,0,0,2023-02-22,FTL,Auto Parts
SHP20083,L077,Madurai,Guwahati,C002,GATI Express,3002,20641.8,70233.23,3.402,3,4,0,1,0,0,1,2023-11-08,LTL,Textiles
SHP20084,L078,Agra,Madurai,C002,GATI Express,2501,14172.8,48989.83,3.457,3,3,1,0,0,1,0,2024-06-19,FTL,Auto Parts
SHP20085,L079,Vadodara,Bhubaneswar,C008,XpressBees,1721,7785.2,31606.65,4.06,3,3,1,0,0,0,0,2023-03-03,FTL,General Cargo
SHP20086,L080,Varanasi,Coimbatore,C004,VRL Logistics,2224,6983.8,15952.09,2.284,3,3,1,0,0,1,0,2023-06-10,LTL,General Cargo
SHP20087,L081,Delhi,Nashik,C008,XpressBees,1321,17389.6,63379.77,3.645,3,6,0,3,0,0,0,2024-04-09,FTL,General Cargo
SHP20088,L082,Amritsar,Visakhapatnam,C005,TCI Freight,2290,19801.8,82924.06,4.188,3,3,1,0,0,0,0,2024-03-11,LTL,Electronics
SHP20089,L083,Dehradun,Indore,C004,VRL Logistics,1132,16367.1,84772.41,5.179,3,3,1,0,0,1,0,2023-06-19,LTL,Auto Parts
SHP20090,L084,Vijayawada,Thiruvananthapuram,C008,XpressBees,1263,3546.7,15642.27,4.41,3,3,1,0,0,0,0,2024-05-27,LTL,General Cargo
SHP20091,L085,Bhopal,Guwahati,C008,XpressBees,1922,2470.8,5286.31,2.14,3,3,1,0,0,1,0,2023-09-14,LTL,Pharma
SHP20092,L002,Jaipur,Varanasi,C004,VRL Logistics,963,24066.8,118549.57,4.926,2,2,1,0,0,0,1,2023-10-03,LTL,Textiles
SHP20093,L086,Jabalpur,Lucknow,C003,Delhivery Ltd,537,12027.3,51480.25,4.28,2,2,1,0,0,0,0,2024-03-22,LTL,Textiles
SHP20094,L087,Guwahati,Agra,C008,XpressBees,1774,9025.0,28578.38,3.167,3,3,1,0,0,0,0,2023-12-04,LTL,Pharma
SHP20095,L088,Nagpur,Ranchi,C005,TCI Freight,894,16733.3,56919.71,3.402,2,2,1,0,0,0,0,2023-04-01,LTL,Textiles
SHP20096,L089,Mumbai,Madurai,C006,Safexpress,1516,3340.1,15711.56,4.704,3,3,1,0,0,0,0,2023-01-02,LTL,Electronics
SHP20097,L090,Bhopal,Bhubaneswar,C007,Ekart Logistics,1208,1828.0,6972.98,3.815,3,3,1,0,0,0,0,2024-03-28,LTL,Electronics
SHP20098,L091,Chandigarh,Coimbatore,C005,TCI Freight,2848,13955.9,73224.58,5.247,3,3,1,0,0,0,0,2023-05-05,LTL,FMCG
SHP20099,L065,Jaipur,Madurai,C003,Delhivery Ltd,2477,8113.4,16615.11,2.048,3,3,1,0,0,0,0,2023-04-27,FTL,FMCG
SHP20100,L092,Bhubaneswar,Dehradun,C003,Delhivery Ltd,1767,12710.2,57299.0,4.508,3,3,1,0,0,0,0,2024-05-09,FTL,FMCG
SHP20101,L093,Patna,Visakhapatnam,C008,XpressBees,1167,14006.0,46815.77,3.343,3,3,1,0,0,0,0,2023-05-20,LTL,Textiles
SHP20102,L094,Amritsar,Thiruvananthapuram,C007,Ekart Logistics,3351,8826.9,41989.66,4.757,3,3,1,0,1,0,1,2023-11-02,LTL,Electronics
SHP20103,L095,Guwahati,Noida,C008,XpressBees,1865,13695.2,43933.29,3.208,3,3,1,0,0,0,0,2024-04-11,LTL,Electronics
SHP20104,L096,Mumbai,Hyderabad,C004,VRL Logistics,807,14509.0,40878.65,2.817,2,2,1,0,0,0,0,2024-04-29,LTL,Electronics
SHP20105,L097,Vadodara,Rajkot,C003,Delhivery Ltd,321,12635.6,26908.38,2.13,1,1,1,0,0,0,0,2023-04-13,LTL,Pharma
SHP20106,L098,Kolkata,Varanasi,C008,XpressBees,813,876.0,2193.98,2.505,2,2,1,0,0,0,0,2023-03-18,LTL,Electronics
SHP20107,L099,Patna,Madurai,C006,Safexpress,2464,15769.9,53478.75,3.391,3,6,0,3,0,1,0,2024-06-30,LTL,Pharma
SHP20108,L100,Vadodara,Mumbai,C008,XpressBees,464,21873.4,46495.12,2.126,1,4,0,3,0,0,0,2023-04-03,LTL,FMCG
SHP20109,L101,Nashik,Varanasi,C002,GATI Express,1446,11370.1,50358.22,4.429,3,3,1,0,0,0,0,2023-02-27,FTL,FMCG
SHP20110,L102,Thiruvananthapuram,Surat,C006,Safexpress,1927,11051.8,31549.47,2.855,3,3,1,0,0,1,0,2023-07-04,LTL,Textiles
SHP20111,L103,Chennai,Hyderabad,C002,GATI Express,670,15432.5,51527.65,3.339,2,2,1,0,0,0,0,2023-05-27,FTL,FMCG
SHP20112,L104,Coimbatore,Patna,C005,TCI Freight,2383,11759.5,50965.0,4.334,3,3,1,0,0,0,1,2023-10-22,LTL,Textiles
SHP20113,L105,Bhopal,Chennai,C002,GATI Express,1527,11322.4,36339.01,3.209,3,3,1,0,0,0,0,2024-03-10,LTL,General Cargo
SHP20114,L099,Madurai,Patna,C005,TCI Freight,2464,5380.8,18006.45,3.346,3,3,1,0,0,0,0,2024-01-03,FTL,General Cargo
SHP20115,L106,Jabalpur,Thiruvananthapuram,C005,TCI Freight,2163,1037.5,5089.07,4.905,3,3,1,0,1,0,0,2023-02-20,LTL,Auto Parts
SHP20116,L107,Guwahati,Thiruvananthapuram,C004,VRL Logistics,3258,15373.1,49703.13,3.233,3,3,1,0,0,0,0,2023-05-21,FTL,Textiles
SHP20117,L030,Varanasi,Lucknow,C005,TCI Freight,348,19821.0,41956.61,2.117,1,1,1,0,0,0,1,2023-10-30,LTL,Auto Parts
SHP20118,L108,Mumbai,Nashik,C003,Delhivery Ltd,179,5419.5,25757.77,4.753,1,1,1,0,0,0,0,2024-05-28,LTL,Auto Parts
SHP20119,L109,Mangalore,Chennai,C005,TCI Freight,761,22894.2,121445.89,5.305,2,2,1,0,0,0,0,2023-12-13,FTL,General Cargo
SHP20120,L110,Dehradun,Patna,C002,GATI Express,1132,3948.5,21253.79,5.383,3,3,1,0,0,0,0,2024-02-11,LTL,Textiles
SHP20121,L111,Indore,Surat,C002,GATI Express,469,19871.7,40711.46,2.049,1,1,1,0,0,1,0,2023-09-26,FTL,General Cargo
SHP20122,L112,Vadodara,Surat,C002,GATI Express,168,17033.5,62175.15,3.65,1,1,1,0,0,0,0,2023-12-02,LTL,Auto Parts
SHP20123,L113,Coimbatore,Amritsar,C008,XpressBees,2991,22780.0,69653.62,3.058,3,3,1,0,0,0,0,2023-02-08,FTL,Textiles
SHP20124,L114,Vijayawada,Ranchi,C002,GATI Express,1184,2881.2,14709.7,5.105,3,7,0,4,0,0,0,2024-03-05,FTL,Auto Parts
SHP20125,L115,Noida,Nashik,C002,GATI Express,1317,20925.5,86940.91,4.155,3,3,1,0,0,0,0,2024-01-15,LTL,Electronics
SHP20126,L116,Kochi,Bhubaneswar,C008,XpressBees,1992,23788.6,118802.07,4.994,3,6,0,3,0,0,0,2024-01-03,LTL,Textiles
SHP20127,L117,Chandigarh,Nagpur,C005,TCI Freight,1419,5150.3,12502.66,2.428,3,3,1,0,0,1,0,2023-08-06,FTL,Textiles
SHP20128,L118,Jaipur,Amritsar,C006,Safexpress,689,6467.4,15785.2,2.441,2,2,1,0,0,1,0,2023-08-01,LTL,Auto Parts
SHP20129,L119,Kochi,Visakhapatnam,C006,Safexpress,1484,19472.0,92691.65,4.76,3,3,1,0,0,0,0,2023-05-29,LTL,Electronics
SHP20130,L120,Kanpur,Indore,C005,TCI Freight,797,20063.6,47846.51,2.385,2,2,1,0,0,0,0,2024-01-02,LTL,Pharma
SHP20131,L121,Visakhapatnam,Pune,C001,BlueDart Logistics,1297,4769.0,10412.62,2.183,3,3,1,0,0,0,0,2023-03-07,FTL,General Cargo
SHP20132,L122,Patna,Kolkata,C006,Safexpress,614,13074.3,31138.92,2.382,2,2,1,0,0,0,0,2023-02-14,FTL,Auto Parts
SHP20133,L048,Raipur,Vijayawada,C008,XpressBees,707,16261.8,34296.58,2.109,2,2,1,0,0,0,0,2024-03-12,FTL,Textiles
SHP20134,L123,Varanasi,Ranchi,C008,XpressBees,409,2300.5,5251.5,2.283,1,1,1,0,0,0,1,2023-10-09,FTL,General Cargo
SHP20135,L057,Indore,Mumbai,C007,Ekart Logistics,659,24868.4,95916.15,3.857,2,2,1,0,0,0,0,2023-04-12,FTL,General Cargo
SHP20136,L124,Dehradun,Jabalpur,C004,VRL Logistics,1055,11036.7,56378.98,5.108,3,3,1,0,0,0,0,2024-02-13,FTL,General Cargo
SHP20137,L125,Nagpur,Varanasi,C006,Safexpress,798,10955.7,47414.93,4.328,2,2,1,0,0,0,0,2024-04-30,FTL,Pharma
SHP20138,L126,Amritsar,Varanasi,C002,GATI Express,1374,2784.1,6509.16,2.338,3,3,1,0,0,0,0,2023-03-03,FTL,FMCG
SHP20139,L127,Indore,Jabalpur,C006,Safexpress,537,16915.3,58151.93,3.438,2,2,1,0,0,0,0,2024-03-09,FTL,Auto Parts
SHP20140,L128,Chandigarh,Vijayawada,C005,TCI Freight,2113,9115.3,36668.25,4.023,3,3,1,0,0,1,0,2023-08-18,LTL,FMCG
SHP20141,L129,Varanasi,Surat,C006,Safexpress,1478,3314.7,9861.2,2.975,3,3,1,0,0,0,0,2023-01-27,FTL,FMCG
SHP20142,L130,Mangalore,Jaipur,C003,Delhivery Ltd,2027,7195.1,33589.84,4.668,3,3,1,0,0,1,0,2023-07-05,LTL,FMCG
SHP20143,L131,Noida,Nagpur,C002,GATI Express,1093,3975.9,16762.8,4.216,3,5,0,2,0,0,0,2024-04-09,LTL,General Cargo
SHP20144,L132,Pune,Chennai,C006,Safexpress,1184,8135.1,25506.31,3.135,3,3,1,0,0,0,0,2023-02-23,LTL,Electronics
SHP20145,L133,Noida,Bangalore,C001,BlueDart Logistics,2255,17012.2,50226.14,2.952,3,3,1,0,0,0,0,2024-03-28,FTL,General Cargo
SHP20146,L134,Nagpur,Mangalore,C004,VRL Logistics,1320,18996.1,45559.51,2.398,3,3,1,0,0,0,0,2024-05-13,FTL,General Cargo
SHP20147,L048,Raipur,Vijayawada,C001,BlueDart Logistics,707,5902.7,32143.51,5.446,2,4,0,2,0,1,0,2023-08-05,FTL,Textiles
SHP20148,L135,Kanpur,Mangalore,C005,TCI Freight,2098,8539.0,17309.02,2.027,3,3,1,0,0,0,0,2024-01-25,FTL,Textiles
SHP20149,L136,Bhopal,Coimbatore,C006,Safexpress,1779,2265.8,11365.65,5.016,3,4,0,1,0,0,0,2023-03-21,LTL,FMCG
SHP20150,L137,Mumbai,Kolkata,C007,Ekart Logistics,2153,17882.7,61908.64,3.462,3,4,0,1,0,1,0,2023-06-25,FTL,General Cargo
SHP20151,L138,Bhubaneswar,Surat,C002,GATI Express,1762,11199.4,26548.41,2.371,3,3,1,0,0,0,0,2023-03-22,FTL,FMCG
SHP20152,L139,Rajkot,Vijayawada,C006,Safexpress,1577,5928.5,28023.5,4.727,3,4,0,1,0,1,0,2023-07-18,FTL,Textiles
SHP20153,L140,Ahmedabad,Surat,C003,Delhivery Ltd,262,6288.6,15800.45,2.513,1,1,1,0,0,0,0,2023-03-19,FTL,Electronics
SHP20154,L141,Bangalore,Ranchi,C008,XpressBees,1849,18983.9,88456.81,4.66,3,3,1,0,0,0,1,2023-11-27,FTL,Auto Parts
SHP20155,L142,Mumbai,Noida,C008,XpressBees,1483,2173.0,7709.21,3.548,3,3,1,0,0,0,0,2023-02-27,LTL,FMCG
SHP20156,L143,Ahmedabad,Raipur,C002,GATI Express,1230,8105.0,29029.67,3.582,3,6,0,3,0,0,0,2023-04-03,FTL,Electronics
SHP20157,L144,Ranchi,Vadodara,C008,XpressBees,1619,14718.1,78591.86,5.34,3,3,1,0,0,1,0,2023-07-12,LTL,Auto Parts
SHP20158,L145,Mumbai,Guwahati,C003,Delhivery Ltd,2706,23964.2,85715.89,3.577,3,3,1,0,0,0,0,2023-03-28,FTL,Pharma
SHP20159,L141,Ranchi,Bangalore,C001,BlueDart Logistics,1849,6569.7,23205.19,3.532,3,3,1,0,0,1,0,2023-06-12,LTL,FMCG
SHP20160,L112,Surat,Vadodara,C005,TCI Freight,168,9991.7,47067.17,4.711,1,1,1,0,0,0,0,2023-12-09,FTL,FMCG
SHP20161,L146,Amritsar,Ahmedabad,C002,GATI Express,1278,14170.1,47511.99,3.353,3,3,1,0,0,1,0,2023-06-03,FTL,Pharma
SHP20162,L147,Pune,Agra,C003,Delhivery Ltd,1371,22960.3,70851.15,3.086,3,3,1,0,0,0,0,2023-05-13,LTL,Pharma
SHP20163,L148,Agra,Mumbai,C007,Ekart Logistics,1352,16265.6,51231.24,3.15,3,4,0,1,0,0,0,2024-03-09,LTL,FMCG
SHP20164,L149,Ranchi,Surat,C001,BlueDart Logistics,1701,9383.6,24687.5,2.631,3,3,1,0,0,0,0,2024-05-12,LTL,Pharma
SHP20165,L150,Hyderabad,Visakhapatnam,C003,Delhivery Ltd,663,4296.2,13040.14,3.035,2,2,1,0,0,1,0,2024-06-23,FTL,General Cargo
SHP20166,L151,Lucknow,Ahmedabad,C003,Delhivery Ltd,1219,15132.5,38434.8,2.54,3,3,1,0,0,1,0,2023-06-19,LTL,Auto Parts
SHP20167,L152,Kolkata,Lucknow,C007,Ekart Logistics,1157,9425.3,42588.69,4.519,3,3,1,0,0,0,0,2024-04-04,FTL,Auto Parts
SHP20168,L153,Coimbatore,Indore,C004,VRL Logistics,1698,8082.0,39037.54,4.83,3,3,1,0,0,0,0,2024-01-12,FTL,Auto Parts
SHP20169,L154,Jabalpur,Kolkata,C008,XpressBees,1135,19351.2,91404.12,4.723,3,3,1,0,0,1,0,2023-06-15,LTL,General Cargo
SHP20170,L155,Hyderabad,Kanpur,C005,TCI Freight,1337,1778.4,6548.19,3.682,3,3,1,0,0,1,0,2024-06-12,LTL,Pharma
SHP20171,L014,Dehradun,Vijayawada,C002,GATI Express,2024,19196.4,56720.94,2.955,3,3,1,0,0,0,0,2024-03-23,FTL,Electronics
SHP20172,L156,Agra,Visakhapatnam,C008,XpressBees,1544,22173.4,116557.84,5.257,3,3,1,0,0,0,0,2024-01-18,FTL,Pharma
SHP20173,L157,Visakhapatnam,Rajkot,C002,GATI Express,1823,9685.4,20326.33,2.099,3,3,1,0,0,0,0,2023-12-10,LTL,FMCG
SHP20174,L018,Noida,Kanpur,C001,BlueDart Logistics,471,7528.5,36921.01,4.904,1,1,1,0,0,0,0,2024-04-25,LTL,Textiles
